id	名称	图标	描述	独特功能	建造花费
1	基本	1	最简单的塔，具有良好但有限的力量	伤害随着塔的等级增大。	100
2	狙击手	2	给予单个目标极大伤害，高射程，重新加载缓慢	可以给予致命伤害。该塔等级越高，致命一击的可能性和伤害越大。	101
3	大炮	3	发射爆炸性的炮弹，一次对多个敌人造成伤害	塔弹爆炸和给予多个敌人造成伤害。爆炸范围随着塔的等级增加。	102
4	寒冰	4	逐渐缓慢周围的敌人	增加冰冻敌人中毒的持续时间和闪电链长。效果随塔的等级增加。	103
5	毒液	5	用毒液毒害敌人造成定时性的伤害	中毒的持续时间随着塔的等级增加。	104
6	喷洒	6	向全方位发射炮弹	弹丸的数量随塔的等级增加。	105
7	爆破	7	使用冲击波攻击周围的敌人	可以击晕敌人。击晕时间随着塔的等级增加。	106
8	多重射击	8	在一个弧形射击多个弹丸	子弹的数量随塔的等级增加。	107
9	机关枪	9	攻击单个敌人，逐渐增加射速	这将需要时间来达到较高的攻击速度。塔的等级越高，获得的攻击速度越快。	108
10	航空	10	只攻击飞行敌人	能点燃敌人使其造成持续性伤害。燃烧几率随塔的等级增加。	109
11	特斯拉	11	利用电荷攻击，可以通过多个敌人	闪电链长度随塔的等级增加。	110
12	导弹	12	发射导弹，在很远的地方对多个敌人造成伤害	塔可以从任何距离射击，但频率远远低于在范围内的敌人。该塔的等级越高，它可以射击远程导弹越频繁，爆炸的半径越大。	111
